年	州	州略号	政党（簡略）	政党（詳細）	得票数	得票率（%）
1976	アラバマ	AL	民主党	民主党	659170	55.73
1976	アラバマ	AL	共和党	共和党	504070	42.61
1976	アラバマ	AL	その他	アメリカ独立党	9198	0.78
1976	アラバマ	AL	その他	禁酒党	6669	0.56
1976	アラバマ	AL	その他	共産党	1954	0.17
1976	アラバマ	AL	リバタリアン党	リバタリアン党	1481	0.13
1976	アラバマ	AL	その他		308	0.03
1976	アラスカ	AK	共和党	共和党	71555	57.90
1976	アラスカ	AK	民主党	民主党	44058	35.65
1976	アラスカ	AK	リバタリアン党	リバタリアン党	6785	5.49
1976	アラスカ	AK	その他		1176	0.95
1976	アリゾナ	AZ	共和党	共和党	418642	56.37
1976	アリゾナ	AZ	民主党	民主党	295602	39.80
1976	アリゾナ	AZ	その他	無所属	19229	2.59
1976	アリゾナ	AZ	リバタリアン党	リバタリアン党	7647	1.03
1976	アリゾナ	AZ	その他	社会主義労働者党	928	0.12
1976	アリゾナ	AZ	その他	アメリカ党	564	0.08
1976	アリゾナ	AZ	その他	アメリカ独立党	85	0.01
1976	アリゾナ	AZ	その他		22	0.00
1976	アーカンソー	AR	民主党	民主党	498604	64.96
1976	アーカンソー	AR	共和党	共和党	267903	34.90
1976	アーカンソー	AR	その他	無所属	639	0.08
1976	アーカンソー	AR	その他	アメリカ独立党	389	0.05
1976	カリフォルニア	CA	共和党	共和党	3882244	49.75
1976	カリフォルニア	CA	民主党	民主党	3742284	47.95
1976	カリフォルニア	CA	その他	無所属	56388	0.72
1976	カリフォルニア	CA	その他	アメリカ独立党	51098	0.65
1976	カリフォルニア	CA	その他	平和と自由党	41731	0.53
1976	カリフォルニア	CA	その他	無所属	17259	0.22
1976	カリフォルニア	CA	その他	無所属	12766	0.16
1976	コロラド	CO	共和党	共和党	584278	54.03
1976	コロラド	CO	民主党	民主党	460801	42.61
1976	コロラド	CO	その他	無所属	26047	2.41
1976	コロラド	CO	リバタリアン党	リバタリアン党	5338	0.49
1976	コロラド	CO	その他	禁酒党	2886	0.27
1976	コロラド	CO	その他	社会主義労働者党	1122	0.10
1976	コロラド	CO	その他	米国労働党	565	0.05
1976	コロラド	CO	その他	共産党	403	0.04
1976	コネチカット	CT	共和党	共和党	719261	51.88
1976	コネチカット	CT	民主党	民主党	647895	46.73
1976	コネチカット	CT	その他		10309	0.74
1976	コネチカット	CT	その他	アメリカ独立党	7101	0.51
1976	コネチカット	CT	その他	米国労働党	1789	0.13
1976	デラウェア	DE	民主党	民主党	122461	51.97
1976	デラウェア	DE	共和党	共和党	109780	46.59
1976	デラウェア	DE	その他	無所属	2432	1.03
1976	デラウェア	DE	その他	アメリカ党	645	0.27
1976	デラウェア	DE	その他	米国労働党	135	0.06
1976	デラウェア	DE	その他	禁酒党	103	0.04
1976	デラウェア	DE	その他	社会主義労働党	86	0.04
1976	コロンビア特別区	DC	民主党	民主党	137818	81.63
1976	コロンビア特別区	DC	共和党	共和党	27873	16.51
1976	コロンビア特別区	DC	その他		1656	0.98
1976	コロンビア特別区	DC	その他	無所属	1195	0.71
1976	コロンビア特別区	DC	その他		288	0.17
1976	フロリダ	FL	民主党	民主党	1636000	51.93
1976	フロリダ	FL	共和党	共和党	1469531	46.64
1976	フロリダ	FL	その他	無所属	23643	0.75
1976	フロリダ	FL	その他	アメリカ党	21325	0.68
1976	フロリダ	FL	その他		132	0.00
1976	ジョージア	GA	民主党	民主党	979409	66.94
1976	ジョージア	GA	共和党	共和党	483743	33.06
1976	ハワイ	HI	民主党	民主党	147375	50.59
1976	ハワイ	HI	共和党	共和党	140003	48.06
1976	ハワイ	HI	リバタリアン党	リバタリアン党	3923	1.35
1976	アイダホ	ID	共和党	共和党	204151	59.88
1976	アイダホ	ID	民主党	民主党	126549	37.12
1976	アイダホ	ID	その他	アメリカ党	5935	1.74
1976	アイダホ	ID	リバタリアン党	リバタリアン党	3558	1.04
1976	アイダホ	ID	その他	米国労働党	739	0.22
1976	イリノイ	IL	共和党	共和党	2364269	50.08
1976	イリノイ	IL	民主党	民主党	2271295	48.11
1976	イリノイ	IL	その他	無所属	55939	1.18
1976	イリノイ	IL	その他	共産党	9250	0.20
1976	イリノイ	IL	リバタリアン党	リバタリアン党	8057	0.17
1976	イリノイ	IL	その他		4417	0.09
1976	イリノイ	IL	その他	社会主義労働者党	3615	0.08
1976	イリノイ	IL	その他	社会主義労働党	2422	0.05
1976	イリノイ	IL	その他	米国労働党	2018	0.04
1976	インディアナ	IN	共和党	共和党	1183958	53.32
1976	インディアナ	IN	民主党	民主党	1014714	45.70
1976	インディアナ	IN	その他	アメリカ党	14048	0.63
1976	インディアナ	IN	その他	社会主義労働者党	5695	0.26
1976	インディアナ	IN	その他	米国労働党	1947	0.09
1976	アイオワ	IA	共和党	共和党	632864	49.47
1976	アイオワ	IA	民主党	民主党	619931	48.46
1976	アイオワ	IA	その他	無所属	20057	1.57
1976	アイオワ	IA	その他	アイオワ・アメリカ党	3041	0.24
1976	アイオワ	IA	リバタリアン党	リバタリアン党	1454	0.11
1976	アイオワ	IA	その他	共産党	551	0.04
1976	アイオワ	IA	その他		509	0.04
1976	アイオワ	IA	その他	社会主義労働者党	262	0.02
1976	アイオワ	IA	その他	米国労働党	241	0.02
1976	アイオワ	IA	その他	社会主義USA党	233	0.02
1976	アイオワ	IA	その他	社会主義労働党	160	0.01
1976	カンザス	KS	共和党	共和党	502752	52.49
1976	カンザス	KS	民主党	民主党	430421	44.94
1976	カンザス	KS	その他	無所属	13185	1.38
1976	カンザス	KS	その他	アメリカ党	4724	0.49
1976	カンザス	KS	その他	無所属	3242	0.34
1976	カンザス	KS	その他	保守党	2118	0.22
1976	カンザス	KS	その他	禁酒党	1403	0.15
1976	ケンタッキー	KY	民主党	民主党	615717	52.75
1976	ケンタッキー	KY	共和党	共和党	531852	45.57
1976	ケンタッキー	KY	その他	アメリカ党	8308	0.71
1976	ケンタッキー	KY	その他	無所属	6837	0.59
1976	ケンタッキー	KY	その他	アメリカ独立党	2328	0.20
1976	ケンタッキー	KY	リバタリアン党	リバタリアン党	814	0.07
1976	ケンタッキー	KY	その他	米国労働党	510	0.04
1976	ケンタッキー	KY	その他	共産党	426	0.04
1976	ケンタッキー	KY	その他	社会主義労働者党	350	0.03
1976	ルイジアナ	LA	民主党	民主党	661365	51.77
1976	ルイジアナ	LA	共和党	共和党	587446	45.99
1976	ルイジアナ	LA	その他	アメリカ独立党	10058	0.79
1976	ルイジアナ	LA	その他	共産党	7417	0.58
1976	ルイジアナ	LA	その他	無所属	6490	0.51
1976	ルイジアナ	LA	リバタリアン党	リバタリアン党	3134	0.25
1976	ルイジアナ	LA	その他	社会主義労働者党	1473	0.12
1976	メイン	ME	共和党	共和党	236320	48.93
1976	メイン	ME	民主党	民主党	232279	48.09
1976	メイン	ME	その他	無所属	10874	2.25
1976	メイン	ME	その他	禁酒党	3495	0.72
1976	メリーランド	MD	民主党	民主党	759612	53.04
1976	メリーランド	MD	共和党	共和党	672661	46.96
1976	マサチューセッツ	MA	民主党	民主党	1429475	56.11
1976	マサチューセッツ	MA	共和党	共和党	1030276	40.44
1976	マサチューセッツ	MA	その他	無所属	65637	2.58
1976	マサチューセッツ	MA	その他	社会主義労働者党	8138	0.32
1976	マサチューセッツ	MA	その他	アメリカ党	7555	0.30
1976	マサチューセッツ	MA	その他	米国労働党	4922	0.19
1976	マサチューセッツ	MA	その他		1401	0.05
1976	マサチューセッツ	MA	リバタリアン党	リバタリアン党	135	0.01
1976	マサチューセッツ	MA	その他	社会主義労働党	19	0.00
1976	ミシガン	MI	共和党	共和党	1893742	51.86
1976	ミシガン	MI	民主党	民主党	1696714	46.47
1976	ミシガン	MI	その他	無所属	47905	1.31
1976	ミシガン	MI	リバタリアン党	リバタリアン党	5407	0.15
1976	ミシガン	MI	その他	人権党	3504	0.10
1976	ミシガン	MI	その他	社会主義労働者党	1804	0.05
1976	ミシガン	MI	その他	米国労働党	1366	0.04
1976	ミシガン	MI	その他	社会主義労働党	1148	0.03
1976	ミネソタ	MN	民主党	民主党	1070440	54.90
1976	ミネソタ	MN	共和党	共和党	819395	42.02
1976	ミネソタ	MN	その他	マッカーシー'76	35490	1.82
1976	ミネソタ	MN	その他	アメリカ党	13592	0.70
1976	ミネソタ	MN	その他	社会主義労働者党	4149	0.21
